date,file_count,file_link,file_name,link,title,type
2023-05-26,"[301, 376]","{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991589', '附件2': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991590'}","2202高等数学A(中）、C（下）期末考试安排 6.11上午第二场.xlsx,2202高等数学B（下）期末考试安排 6.11上午第一场.xlsx",https://jwch.fzu.edu.cn/info/1036/12794.htm,关于2022-2023学年第二学期《高等数学A（中）、B（下）、C（下）》课程期末考试安排的通知,【注册中心】
2023-05-26,[336],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991629'},2202 马克思主义基本原理 随堂考安排.xlsx,https://jwch.fzu.edu.cn/info/1036/12796.htm,关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,【注册中心】
2023-05-26,[374],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991684'},2202 毛泽东思想概论 随堂考安排.xlsx,https://jwch.fzu.edu.cn/info/1036/12797.htm,关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,【注册中心】
2023-05-26,[317],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991703'},2202 思想道德与法治 随堂考安排.xlsx,https://jwch.fzu.edu.cn/info/1036/12798.htm,关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,【注册中心】
2023-06-27,,{},,https://jwch.fzu.edu.cn/info/1038/12863.htm,关于核对2023-2024学年第一学期通识教育选修课开课信息的有关通知,【计划科】
2023-06-28,[453],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13003807'},关于开展2023年度教师本科教学综合测评工作的通知.doc,https://jwch.fzu.edu.cn/info/1040/12864.htm,关于开展2023年度教师本科教学综合测评工作的通知,【质量办】
2023-06-29,[3817],{'附件1': 'https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13031762'},附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程.pdf,https://jwch.fzu.edu.cn/info/1039/12867.htm,关于参加“2023高教社杯全国大学生数学建模竞赛”报名与集训的通知,【实践科】
2023-06-30,,{},,https://jwch.fzu.edu.cn/info/1040/12868.htm,关于举办福州大学第四十四场“教学有道”研讨活动的通知,【质量办】
2023-06-30,,{},,https://jwch.fzu.edu.cn/info/1036/12870.htm,关于做好期末复习考试及下学期开学等工作的通知,【注册中心】
2023-07-03,,{},,https://jwch.fzu.edu.cn/info/1035/12874.htm,关于召开2022-2023学年春季学期期末本科教育教学工作会议的通知,【综合科】
